spotify_id,song,artist,theme
3oNUvyuV0HDwvIQvn7Qa8g,Casablanca,Bertie Higgins,rebellion
05ofQzVshh0SqVqawplofZ,The King of the Jailhouse,Aimee Mann,rebellion
2oT03Zjxb70PMNTAHiVV3z,The Change Is Made,Bee Gees,rebellion
5AGdCSDPfEmMp6elkrzKWO,Recovery,Buckcherry,rebellion
04g6PCoPTw8FxJVTDApvpK,Reaching Out,Bee Gees,rebellion
07Wqp9LcTwzdIyuI0twXjx,Touch Me,Avicii,rebellion
3JrazVKF6rCU8QX3RCOlvv,Terrorstorm,Army Of The Pharaohs,rebellion
3ppr3wAncizHH97QYNdSjs,My Philosophy,Boogie Down Productions,rebellion
0KwVV82hqIQoD5cvvrMUKu,Step in the Name,Bryan Popin,rebellion
0qLMogpL6n41qhzmFJnhfS,The Lines,Beartooth,rebellion
01ZepwW5W3Z4fwl4bzaHyY,Kick It In The Sticks,Brantley Gilbert,rebellion
59CLe8stbcx4XYBWdsfbwK,One Way Or Another,Blondie,rebellion
5xr4NKzmwqr0cvRMZr7cFz,Celebrity,Brad Paisley,rebellion
365NsLW6lNgJqfzNv7xlXt,Turn Back Time,Aqua,rebellion
0RrRjiYt2s9RT9S51DiD85,Deer Wolf,Atmosphere,rebellion
2DVyJpS1BbrYNXlHU23o8I,Johnny Bye-Bye - Single B-Side - 1984,Bruce Springsteen,rebellion
285bBfkSyKns29i3PKYlKH,I Won't Stop,Canton Jones,rebellion
6hbwFerDj55bMGZZvcInze,Bottoms Up,Brantley Gilbert,rebellion
7DMP71KcVsnuTWSFNfWJpv,Is That You (P.Y.T.),Bow Wow,rebellion
2nCPNGKtxD7qFRbv5c9f63,Kill Yourself,Burn The Priest,rebellion
